@relation Hotelpersonal

@attribute id numeric
@attribute pos_examples numeric
@attribute neg_examples numeric
@attribute score numeric

@data
1,0,0,10.0
9,0,0,10.0
17,0,0,10.0
25,0,1,10.0
33,0,0,10.0
41,0,0,10.0
49,4,0,10.0
57,0,0,10.0
65,0,1,10.0
73,0,3,10.0
81,0,0,10.0
89,0,0,10.0
97,0,0,10.0
105,0,0,10.0
113,0,0,10.0
121,0,0,10.0
129,1,1,10.0
137,5,0,10.0
145,0,1,10.0
153,0,0,10.0
161,0,0,10.0
169,0,0,10.0
177,0,0,10.0
185,0,0,10.0
193,0,0,10.0
201,0,0,10.0
209,0,1,10.0
217,0,0,10.0
225,0,0,10.0
233,1,0,10.0
241,0,0,10.0
249,0,0,10.0
257,0,0,10.0
265,0,0,10.0
273,1,0,10.0
281,0,0,10.0
289,0,0,10.0
297,0,0,10.0
305,3,0,10.0
313,0,0,10.0
321,1,2,10.0
329,0,0,10.0
337,1,0,10.0
345,0,0,10.0
353,0,0,10.0
361,0,0,10.0
369,0,0,10.0
377,3,0,10.0
385,2,0,10.0
393,0,0,10.0
401,0,0,10.0
409,0,2,10.0
417,1,2,10.0
425,0,0,10.0
433,0,0,10.0
441,0,1,10.0
449,0,0,10.0
457,0,0,10.0
465,2,1,10.0
473,0,0,10.0
481,1,0,10.0
489,0,0,10.0
497,2,0,10.0
505,0,0,10.0
513,0,0,10.0
521,0,1,10.0
529,0,0,10.0
537,0,0,10.0
545,0,0,10.0
553,0,0,10.0
561,0,0,10.0
569,0,3,10.0
577,0,0,10.0
585,0,0,10.0
593,0,0,10.0
601,2,0,10.0
609,0,0,10.0
617,0,1,10.0
625,0,0,10.0
633,0,0,10.0
641,3,0,10.0
649,0,0,10.0
657,0,0,10.0
665,0,0,10.0
673,0,0,10.0
681,0,0,10.0
689,0,0,10.0
697,0,0,10.0
705,0,0,10.0
713,0,0,10.0
721,0,0,10.0
729,0,0,10.0
737,0,1,10.0
745,1,0,10.0
753,1,0,10.0
761,2,0,10.0
769,1,0,10.0
777,0,0,10.0
785,1,2,10.0
793,0,0,10.0
801,1,0,10.0
809,0,0,10.0
817,0,0,10.0
825,0,0,10.0
833,0,0,10.0
841,5,0,10.0
849,0,0,10.0
857,0,0,10.0
865,1,0,10.0
873,0,0,10.0
881,0,0,10.0
889,0,1,10.0
897,0,0,10.0
905,0,0,10.0
913,0,0,10.0
921,0,0,10.0
929,0,0,10.0
937,0,0,10.0
945,0,0,10.0
953,0,1,10.0
961,0,0,10.0
969,0,0,10.0
977,0,0,10.0
985,0,0,10.0
993,0,0,10.0
1001,0,0,10.0
1009,0,3,10.0
1017,0,0,10.0
1025,0,0,10.0
1033,0,0,10.0
1041,0,0,10.0
1049,0,0,10.0
1057,0,0,10.0
1065,0,0,10.0
1073,0,0,10.0
1081,0,0,10.0
1089,1,0,10.0
1097,0,0,10.0
1105,0,0,10.0
1113,0,1,10.0
1121,0,0,10.0
1129,0,1,10.0
1137,0,0,10.0
1145,0,0,10.0
1153,1,2,10.0
1161,0,1,10.0
1169,0,0,10.0
1177,0,0,10.0
1185,0,1,10.0
1193,0,1,10.0
1201,1,0,10.0
1209,0,0,10.0
1217,0,0,10.0
1225,0,0,10.0
1233,0,0,10.0
1241,1,0,10.0
1249,0,0,10.0
1257,0,0,10.0
1265,0,2,10.0
1273,0,2,10.0
1281,0,0,10.0
1289,0,0,10.0
1297,1,0,10.0
1305,0,0,10.0
1313,0,0,10.0
1321,1,1,10.0
1329,0,0,10.0
1337,0,0,10.0
1345,0,1,10.0
1353,3,0,10.0
1361,0,0,10.0
1369,0,0,10.0
1377,0,0,10.0
1385,0,0,10.0
1393,0,0,10.0
1401,0,0,10.0
1409,0,1,10.0
1417,0,1,10.0
1425,5,0,10.0
1433,0,1,10.0
1441,3,0,10.0
1449,0,1,10.0
1457,0,0,10.0
1465,0,0,10.0
1473,0,0,10.0
1481,0,1,10.0
1489,0,0,10.0
1497,1,0,10.0
1505,1,0,10.0
1513,0,1,10.0
1521,0,0,10.0
1529,0,0,10.0
1537,0,1,10.0
1545,1,0,10.0
1553,0,0,10.0
1561,0,0,10.0
1569,0,0,10.0
1577,0,0,10.0
1585,0,0,10.0
1593,0,0,10.0
1601,1,1,10.0
1609,1,0,10.0
1617,0,0,10.0
1625,0,0,10.0
1633,0,0,10.0
1641,0,0,10.0
1649,0,0,10.0
1657,0,0,10.0
1665,0,0,10.0
1673,0,0,10.0
1681,1,1,10.0
1689,0,2,10.0
1697,0,0,10.0
1705,0,0,10.0
1713,0,0,10.0
1721,0,2,10.0
1729,1,1,10.0
1737,1,0,10.0
1745,0,0,10.0
1753,0,0,10.0
1761,0,0,10.0
1769,0,0,10.0
1777,0,0,10.0
1785,0,2,10.0
1793,0,0,10.0
1801,0,2,10.0
1809,0,0,10.0
1817,0,0,10.0
1825,0,0,10.0
1833,1,0,10.0
1841,2,0,10.0
1849,0,0,10.0
1857,0,0,10.0
1865,0,0,10.0
1873,0,0,10.0
1881,0,0,10.0
1889,0,0,10.0
1897,1,0,10.0
1905,2,2,10.0
1913,0,0,10.0
1921,0,0,10.0
1929,0,0,10.0
1937,0,0,10.0
1945,2,0,10.0
1953,0,1,10.0
1961,0,0,10.0
1969,0,0,10.0
1977,0,0,10.0
1985,0,0,10.0
1993,1,0,10.0
