@relation Komfort

@attribute id numeric
@attribute pos_examples numeric
@attribute neg_examples numeric
@attribute score numeric

@data
4,1,1,10.0
12,0,0,10.0
20,0,0,10.0
28,1,2,10.0
36,0,2,10.0
44,1,0,10.0
52,0,1,10.0
60,0,0,10.0
68,0,1,10.0
76,0,0,10.0
84,1,2,10.0
92,1,2,10.0
100,0,1,10.0
108,0,1,10.0
116,2,0,10.0
124,0,1,10.0
132,0,4,10.0
140,0,0,10.0
148,0,2,10.0
156,0,0,10.0
164,0,0,10.0
172,0,1,10.0
180,0,0,10.0
188,0,3,10.0
196,0,0,10.0
204,1,0,10.0
212,0,0,10.0
220,0,1,10.0
228,0,1,10.0
236,0,1,10.0
244,0,1,10.0
252,0,0,10.0
260,0,0,10.0
268,0,0,10.0
276,1,0,10.0
284,0,0,10.0
292,0,1,10.0
300,0,1,10.0
308,0,0,10.0
316,0,0,10.0
324,1,3,10.0
332,0,0,10.0
340,0,0,10.0
348,0,1,10.0
356,0,0,10.0
364,0,0,10.0
372,0,1,10.0
380,1,2,10.0
388,1,2,10.0
396,0,0,10.0
404,0,3,10.0
412,3,0,10.0
420,0,4,10.0
428,0,2,10.0
436,0,0,10.0
444,0,1,10.0
452,1,2,10.0
460,1,0,10.0
468,1,0,10.0
476,0,1,10.0
484,0,0,10.0
492,0,0,10.0
500,0,0,10.0
508,0,3,10.0
516,0,3,10.0
524,0,2,10.0
532,1,1,10.0
540,0,2,10.0
548,0,1,10.0
556,0,2,10.0
564,0,2,10.0
572,1,3,10.0
580,2,1,10.0
588,0,0,10.0
596,1,3,10.0
604,0,3,10.0
612,0,0,10.0
620,0,0,10.0
628,1,7,10.0
636,1,2,10.0
644,0,1,10.0
652,0,0,10.0
660,1,0,10.0
668,1,0,10.0
676,0,2,10.0
684,0,0,10.0
692,0,0,10.0
700,2,1,10.0
708,0,0,10.0
716,1,0,10.0
724,0,0,10.0
732,0,0,10.0
740,0,3,10.0
748,1,2,10.0
756,0,3,10.0
764,0,1,10.0
772,0,2,10.0
780,0,1,10.0
788,3,2,10.0
796,1,1,10.0
804,1,1,10.0
812,1,0,10.0
820,1,0,10.0
828,0,2,10.0
836,0,3,10.0
844,0,3,10.0
852,0,0,10.0
860,0,0,10.0
868,2,6,10.0
876,0,1,10.0
884,0,3,10.0
892,0,0,10.0
900,0,3,10.0
908,0,0,10.0
916,0,0,10.0
924,1,1,10.0
932,2,3,10.0
940,1,0,10.0
948,2,0,10.0
956,2,2,10.0
964,0,1,10.0
972,0,1,10.0
980,0,0,10.0
988,0,3,10.0
996,0,0,10.0
1004,1,0,10.0
1012,0,0,10.0
1020,0,0,10.0
1028,0,0,10.0
1036,0,1,10.0
1044,0,0,10.0
1052,0,0,10.0
1060,0,0,10.0
1068,0,4,10.0
1076,0,0,10.0
1084,0,3,10.0
1092,0,0,10.0
1100,0,1,10.0
1108,0,2,10.0
1116,0,0,10.0
1124,0,0,10.0
1132,1,0,10.0
1140,2,1,10.0
1148,0,0,10.0
1156,0,0,10.0
1164,0,1,10.0
1172,0,0,10.0
1180,0,1,10.0
1188,2,0,10.0
1196,0,1,10.0
1204,1,4,10.0
1212,0,0,10.0
1220,0,0,10.0
1228,0,1,10.0
1236,1,5,10.0
1244,0,1,10.0
1252,0,1,10.0
1260,1,1,10.0
1268,0,3,10.0
1276,0,2,10.0
1284,1,1,10.0
1292,0,3,10.0
1300,0,0,10.0
1308,0,0,10.0
1316,0,1,10.0
1324,0,1,10.0
1332,1,0,10.0
1340,0,0,10.0
1348,1,1,10.0
1356,0,1,10.0
1364,0,1,10.0
1372,0,2,10.0
1380,0,1,10.0
1388,0,0,10.0
1396,2,3,10.0
1404,0,5,10.0
1412,0,0,10.0
1420,0,3,10.0
1428,1,3,10.0
1436,0,0,10.0
1444,0,2,10.0
1452,2,0,10.0
1460,0,2,10.0
1468,2,0,10.0
1476,0,0,10.0
1484,1,1,10.0
1492,0,5,10.0
1500,0,2,10.0
1508,1,3,10.0
1516,0,0,10.0
1524,0,0,10.0
1532,0,3,10.0
1540,0,0,10.0
1548,0,7,10.0
1556,0,0,10.0
1564,1,0,10.0
1572,0,0,10.0
1580,0,0,10.0
1588,0,0,10.0
1596,0,0,10.0
1604,2,2,10.0
1612,1,6,10.0
1620,0,4,10.0
1628,0,1,10.0
1636,0,3,10.0
1644,0,0,10.0
1652,0,0,10.0
1660,2,2,10.0
1668,1,8,10.0
1676,0,2,10.0
1684,1,4,10.0
1692,0,0,10.0
1700,0,1,10.0
1708,1,1,10.0
1716,0,0,10.0
1724,0,8,10.0
1732,2,6,10.0
1740,1,0,10.0
1748,0,0,10.0
1756,3,0,10.0
1764,0,0,10.0
1772,0,1,10.0
1780,0,1,10.0
1788,0,0,10.0
1796,0,1,10.0
1804,1,1,10.0
1812,0,0,10.0
1820,0,0,10.0
1828,0,1,10.0
1836,0,1,10.0
1844,0,0,10.0
1852,0,1,10.0
1860,0,1,10.0
1868,0,2,10.0
1876,2,1,10.0
1884,0,0,10.0
1892,0,2,10.0
1900,0,1,10.0
1908,0,2,10.0
1916,0,0,10.0
1924,2,1,10.0
1932,0,0,10.0
1940,0,2,10.0
1948,2,2,10.0
1956,1,1,10.0
1964,0,2,10.0
1972,0,2,10.0
1980,0,0,10.0
1988,0,1,10.0
1996,0,2,10.0
2004,0,0,10.0
2012,1,1,10.0
2020,0,0,10.0
2028,0,1,10.0
2036,0,2,10.0
2044,0,1,10.0
2052,0,1,10.0
2060,0,0,10.0
2068,0,2,10.0
2076,3,2,10.0
2084,2,2,10.0
2092,0,0,10.0
2100,1,0,10.0
2108,0,0,10.0
2116,0,2,10.0
2124,0,2,10.0
2132,0,0,10.0
2140,0,2,10.0
2148,0,1,10.0
2156,1,1,10.0
2164,0,2,10.0
2172,0,1,10.0
2180,3,3,10.0
2188,2,0,10.0
2196,0,2,10.0
2204,0,1,10.0
2212,0,2,10.0
2220,2,2,10.0
2228,0,0,10.0
2236,0,0,10.0
2244,0,0,10.0
2252,0,0,10.0
2260,1,0,10.0
2268,0,2,10.0
2276,0,4,10.0
2284,0,5,10.0
2292,1,0,10.0
2300,0,0,10.0
2308,1,3,10.0
2316,2,3,10.0
2324,1,1,10.0
2332,3,1,10.0
2340,0,1,10.0
2348,0,2,10.0
2356,2,1,10.0
2364,1,0,10.0
2372,0,0,10.0
2380,0,1,10.0
2388,0,3,10.0
2396,1,0,10.0
2404,0,0,10.0
2412,0,2,10.0
2420,0,1,10.0
2428,0,0,10.0
2436,1,2,10.0
2444,0,2,10.0
2452,0,1,10.0
2460,0,0,10.0
2468,0,0,10.0
2476,2,3,10.0
2484,2,0,10.0
2492,0,0,10.0
2500,2,0,10.0
2508,0,5,10.0
2516,0,2,10.0
2524,0,0,10.0
2532,2,0,10.0
2540,0,0,10.0
2548,0,1,10.0
2556,0,0,10.0
2564,0,3,10.0
2572,0,1,10.0
2580,1,3,10.0
2588,0,1,10.0
2596,0,2,10.0
2604,0,0,10.0
2612,0,1,10.0
2620,1,0,10.0
2628,0,1,10.0
2636,1,0,10.0
2644,0,0,10.0
2652,0,2,10.0
