Ausstattung,arff
Precision	0,8339350180505415
Recall	0,8162544169611308
fMeasure0,8250000000000001
Accuracy	79,71513605442178
TP	23,1
FP	4,6
FN	5,2
TN	15,4
balanced accuracy	0,7931272084805654

Hotelpersonal,arff
Precision	0,874251497005988
Recall	0,8759999999999999
fMeasure0,875124875124875
Accuracy	80,6826923076923
TP	43,8
FP	6,3
FN	6,2
TN	8,4
balanced accuracy	0,7237142857142858

Komfort,arff
Precision	0,6152019002375297
Recall	0,585972850678733
fMeasure0,6002317497103128
Accuracy	74,64952769428939
TP	25,9
FP	16,2
FN	18,3
TN	75,7
balanced accuracy	0,7048471435112924

Lage,arff
Precision	0,9551478083588175
Recall	0,9630010277492292
fMeasure0,9590583418628454
Accuracy	92,2824869305452
TP	93,7
FP	4,4
FN	3,6
TN	2,0
balanced accuracy	0,6377505138746147

OTHER,arff
Precision	0,7851851851851852
Recall	0,7625899280575539
fMeasure0,7737226277372262
Accuracy	73,42857142857143
TP	31,8
FP	8,7
FN	9,9
TN	19,6
balanced accuracy	0,7275847166789536

Preis-Leistungs-Verhltnis,arff
Precision	0,7889908256880734
Recall	0,7543859649122807
fMeasure0,7713004484304933
Accuracy	73,34210526315789
TP	8,6
FP	2,3
FN	2,8
TN	5,4
balanced accuracy	0,7278423331054911

Sauberkeit,arff
Precision	0,8333333333333333
Recall	0,8098591549295775
fMeasure0,8214285714285714
Accuracy	82,36453201970444
TP	11,5
FP	2,3
FN	2,7
TN	11,9
balanced accuracy	0,823943661971831

WLAN,arff
Precision	0,0
Recall	0,0
fMeasureNaN
Accuracy	68,33333333333334
TP	0,0
FP	0,5
FN	1,4
TN	4,1
balanced accuracy	0,44565217391304346


